links	links-href	title	smalltitle	address	locationlink	locationlink-href	prise	details
Natuurmuseum NijmegenNIJMEGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Natuurmuseum+Nijmegen/Natuurmuseum+Nijmegen.aspx	Natuurmuseum Nijmegen NIJMEGEN					Museumkaart	
"Maritiem Centrum ""Abraham FockHOLLUM-AMELANDDit museum accepteert de Museumkaart"	https://www.museumkaart.nl/museum/Maritiem+Centrum+%22Abraham+Fock%22/Mar.+Centrum+Abraham+Fock.aspx	"Maritiem Centrum ""Abraham Fock"" HOLLUM-AMELAND"						"Navigeer door het centrum en door de tijd aan de hand van sterren, kompas en kustlijnen. Neem deel aan een heuse reddingsactie. Voel je kapitein op een echte scheepsbrug als je zelf de apparatuur 'bedient', communiceer in de radiokamer. Kortom; het Maritiem Centrum is beleven en ervaren voor iedereen. Het centrum is tevens de uitvalbasis van de paardenreddingboot. Data en tijden van demonstraties zijn te vinden op de website van de Amelander musea."
Cultuur-Historisch Museum SorgHOLLUM-AMELANDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cultuur-Historisch+Museum+Sorgdrager/Cultuurhistorisch+Museum+Sorgdrager+.aspx	Cultuur-Historisch Museum Sorgdrager HOLLUM-AMELAND		"Herenweg 1
9161AM  HOLLUM-AMELAND
				            0519-542737"				
Stadsmuseum SteenwijkSTEENWIJKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stadsmuseum+Steenwijk/Stadsmuseum+Steenwijk.aspx	Stadsmuseum Steenwijk STEENWIJK			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0STEENWIJK%4052.7864736,6.1168929&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Natuurmuseum NijmegenNIJMEGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Natuurmuseum+Nijmegen/Natuurmuseum+Nijmegen.aspx	Natuurmuseum Nijmegen NIJMEGEN		"Gerard Noodtstraat  121
6511ST  NIJMEGEN
				            024 3297070"				
Titus Brandsma MuseumBOLSWARDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Titus+Brandsma+Museum/Titus+Brandsma+Museum.aspx	Titus Brandsma Museum BOLSWARD			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0BOLSWARD%4053.0632181,5.5230716&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum HindeloopenHINDELOOPENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Hindeloopen/Museum+Hindeloopen.aspx	Museum Hindeloopen HINDELOOPEN					Museumkaart	
Dit museum is kidsproofVerzetsmuseum AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Verzetsmuseum+Amsterdam/Verzetsmuseum+Amsterdam.aspx	Verzetsmuseum Amsterdam AMSTERDAM		"Plantage Kerklaan  61
1018CX  AMSTERDAM
				            020 6202535"				
Stadsmuseum DoetinchemDOETINCHEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stadsmuseum+Doetinchem/Stadsmuseum+Doetinchem.aspx	Stadsmuseum Doetinchem DOETINCHEM		"Burgemeester van Nispenstraat 2
7001BS  DOETINCHEM
				            0314 - 335557"				
Dit museum is kidsproofNationaal Reddingmuseum Dorus DEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Reddingmuseum+Dorus+Rijkers/Nationaal+Reddingmuseum+Dorus+Rijkers.aspx	Nationaal Reddingmuseum Dorus Rijkers DEN HELDER	DEN HELDER					
Stadsmuseum SteenwijkSTEENWIJKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stadsmuseum+Steenwijk/Stadsmuseum+Steenwijk.aspx	Stadsmuseum Steenwijk STEENWIJK		"Markt 64
8331HK  STEENWIJK
				            0521 - 511704"				
Streekmuseum-VolkssterrenwachtBURGUMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum-Volkssterrenwacht+Burgum/Streekmuseum+Volkssterrenwacht+Burgum.aspx	Streekmuseum-Volkssterrenwacht Burgum BURGUM		"Menno van Coehoornweg 9
9251LV  BURGUM
				            (0511) 46 55 44"				
Cromhouthuis │ Bijbels MuseumAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Cromhouthuis+%e2%94%82+Bijbels+Museum/Cromhouthuis+%e2%94%82+Bijbels+Museum.aspx	Cromhouthuis │ Bijbels Museum AMSTERDAM					Museumkaart	
Museum Stad AppingedamAPPINGEDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Stad+Appingedam/Museum+Stad+Appingedam.aspx	Museum Stad Appingedam APPINGEDAM		"Wijkstraat 25
9901AE  APPINGEDAM
				            (0596) 68 01 68"				
Noord-Veluws MuseumNUNSPEETDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Noord-Veluws+Museum/Noord-Veluws+Museum.aspx	Noord-Veluws Museum NUNSPEET						"Het Noord-Veluws Museum is vooral een kunstmuseum, dat werk toont van Noord-Veluwse kunstenaars. Het museum beperkt zich niet tot het geven van informatie over de schilderijen, maar koppelt daar verhalen aan. Verhalen van de schilders en de bewoners van dit deel van de Veluwe die hier van 1880 tot 1950 woonden en werkten. Een periode waarin de ongerepte natuur en de eenvoudige bewoners van de Veluwe een grote aantrekkingskracht uitoefenden op stadsbewoners. Juist in een tijd van opkomende industrie en verstedelijking wordt de schoonheid van de natuur en het leven dicht bij de natuur ontdekt."
Museumstoomtram Hoorn-MedembliHOORNDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museumstoomtram+Hoorn-Medemblik/Museumstoomtram+Hoorn-Medemblik.aspx	Museumstoomtram Hoorn-Medemblik HOORN					Museumkaart	
Touwmuseum 'De Baanschuur'OUDEWATERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Touwmuseum+%27De+Baanschuur%27/Touwmuseum+De+Baanschuur.aspx	Touwmuseum 'De Baanschuur' OUDEWATER	OUDEWATER					
Stichting De NollenDEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stichting+De+Nollen/Project+De+Nollen.aspx	Stichting De Nollen DEN HELDER		"Burgemeester Ritmeesterweg 10
1784NV  DEN HELDER
				            0223-660200"				
De Casteelse PoortWAGENINGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/De+Casteelse+Poort/Historisch+Museum+De+Casteelse+Poort.aspx	De Casteelse Poort WAGENINGEN		"Bowlespark 1a
6701DN  WAGENINGEN
				            (0317) 42 14 36"				
Het Nieuwe InstituutROTTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Het+Nieuwe+Instituut/Het+Nieuwe+Instituut.aspx	Het Nieuwe Instituut ROTTERDAM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0ROTTERDAM%4051.912667,4.47332&hl=nl&ie=UTF8&t=m&om=1&z=12"		
De LooierijDONGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/De+Looierij/Museum+De+Looierij.aspx	De Looierij DONGEN	DONGEN					
Kasteel HoensbroekHOENSBROEKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Kasteel+Hoensbroek/Kasteel+Hoensbroek.aspx	Kasteel Hoensbroek HOENSBROEK						"Kasteel Hoensbroek is een van de mooiste en grootste kastelen van Nederland, met 40 prachtige vertrekken om in rond te dwalen. Ontdek de balzaal, griezel in de kerker en beklim de 60 meter hoge middeleeuwse toren. Een tocht door het kasteel is als een reis door de tijd. De kasteelvertrekken zijn ingericht volgens de mode van steeds andere periodes. Van de Middeleeuwen tot en met de 18e eeuw. Het oudste deel van het kasteel stamt uit 1250. Wandel rond en geniet van de collectie, waaronder het 16e-eeuwse torenuurwerk en adellijke portretten. Voor kinderen is er een speurtocht. Met een sleutel kunnen ze de schatkisten openen die ze onderweg tegenkomen."
Museum Jan van der TogtAMSTELVEENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Jan+van+der+Togt/Museum+Jan+van+der+Togt.aspx	Museum Jan van der Togt AMSTELVEEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0AMSTELVEEN%4052.3022822,4.8468865&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Instituut Collectie KropSTEENWIJKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Instituut+Collectie+Krop/Instituut+Hildo+Krop.aspx	Instituut Collectie Krop STEENWIJK			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0STEENWIJK%4052.78535,6.112294&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum 'De Tien Malen'PUTTENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+%27De+Tien+Malen%27/Historisch+Museum+De+Tien+Malen.aspx	Museum 'De Tien Malen' PUTTEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0PUTTEN%4052.2518369,5.6263604&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum de FundatieZWOLLEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+de+Fundatie/Museum+de+Fundatie+Zwolle.aspx	Museum de Fundatie ZWOLLE			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0ZWOLLE%4052.510222,6.0914793&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Instituut Collectie KropSTEENWIJKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Instituut+Collectie+Krop/Instituut+Hildo+Krop.aspx	Instituut Collectie Krop STEENWIJK						"Het Instituut Collectie Krop (ICK) is sinds 2007 gehuisvest in villa Rams Woerthe in Steenwijk. Een groot deel van de benedenverdieping en het souterrain bieden onderdak aan een bijzondere collectie werken van beeldhouwer Hildo Krop (1884-1970), zoon van een banketbakker in Steenwijk. Hij koos - na een gedegen koks-en bakkersopleiding - voor het kunstenaarschap. Al snel na zijn opleiding aan de Rijksacademie voor Beeldende Kunsten maakte hij naam. Hij kon bij de gemeente Amsterdam werken en bleef daar 40 jaar. In 1956 kreeg hij de eretitel Stadsbeeldhouwer van Amsterdam. In de stad zijn ontelbaar veel werken van Krop te vinden: in de stadsuitbreidingswijken van het interbellum, op bruggen en in parken."
Museum BussemakerhuisBORNEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Bussemakerhuis/Museum+Bussemakerhuis.aspx	Museum Bussemakerhuis BORNE					Museumkaart	
Museum DorestadWIJK BIJ DUURSTEDEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Dorestad/Museum+Dorestad.aspx	Museum Dorestad WIJK BIJ DUURSTEDE		"Muntstraat 42
3961AL  WIJK BIJ DUURSTEDE
				            (0343) 57 14 48"				
Stichting De NollenDEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stichting+De+Nollen/Project+De+Nollen.aspx	Stichting De Nollen DEN HELDER			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0DEN+HELDER%4052.9336734,4.7553554&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum de KantfabriekHORSTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+de+Kantfabriek/De+Kantfabriek.aspx	Museum de Kantfabriek HORST			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HORST%4051.4511335,6.0489714&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Streekmuseum KrimpenerwaardKRIMPEN A/D  IJSSELDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum+Krimpenerwaard/Streekmuseum+voor+de+Krimpenerwaard.aspx	Streekmuseum Krimpenerwaard KRIMPEN A/D  IJSSEL					Museumkaart	
DAF MuseumEINDHOVENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/DAF+Museum/DAF+Museum.aspx	DAF Museum EINDHOVEN						"Het museum richt zich op de geschiedenis van Van Doorne's Automobiel Fabriek, kortweg DAF. Er zijn uiteraard veel DAF-voertuigen te zien, waaronder sportwagens en prototypes. Veel van deze prototypes zijn nooit in productie genomen, bijvoorbeeld de koninklijke strandauto, door Michelotti ontworpen op basis van een DAF 33 en als strandwagen gebruikt in Porto Ercole.
Een deel van het museum ingericht voor de grote collectie vrachtwagens. Hier staan de trucks van toen: vrachtauto's, autobussen en speciale voertuigen zoals legertrucks, brandweerwagens, een betonmixer en een takelwagen. Er zijn ook een aantal race- en rallytrucks te zien."
Stedelijk Museum AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Stedelijk+Museum+Amsterdam/Stedelijk+Museum+Amsterdam.aspx	Stedelijk Museum Amsterdam AMSTERDAM		"Museumplein 10
1071 DJ  AMSTERDAM
				            020 - 57 329 11"				
ZoutmuseumDELDENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Zoutmuseum/Zoutmuseum+Delden.aspx	Zoutmuseum DELDEN	DELDEN					
"Dolhuys, museum van de geestHAARLEMDit museum accepteert de Museumkaart"	https://www.museumkaart.nl/museum/Dolhuys%2c+museum+van+de+geest/Het+Dolhuys+.aspx	"Dolhuys, museum van de geest HAARLEM"						"Wat is het verschil tussen gek en normaal? Ontdek het in Het Dolhuys, nationaal museum voor psychiatrie. Het museum toont hoe Nederland door de eeuwen heen met waanzin omging. Hoe is het om stemmen in je hoofd te horen? Wat doe je met iemand die razend is? Hoe is het om de greep op je leven te verliezen? Ervaar het in Het Dolhuys.
Een bezoek aan Het Dolhuys bestaat uit ontmoetingen met echte mensen en hun verhalen. Het museum is gevestigd in het voormalige leprozen-, pest-, en dolhuys uit 1320. Een deel van de voormalige dolcellen, waar razende Haarlemmers werden opgesloten, is bewaard gebleven."
Museum BrediusDEN HAAGDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Bredius/Museum+Bredius.aspx	Museum Bredius DEN HAAG	DEN HAAG					
Museum SchoklandSCHOKLANDDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Schokland/Museum+Schokland.aspx	Museum Schokland SCHOKLAND	SCHOKLAND					
Museum In 't Houten HuisDE RIJPDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+In+%27t+Houten+Huis/Museum+In+%27t+Houten+Huis.aspx	Museum In 't Houten Huis DE RIJP		"Tuingracht  13
1483AP  DE RIJP
				            0299 671286"				
HeksenwaagOUDEWATERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Heksenwaag/Heksenwaag.aspx	Heksenwaag OUDEWATER					Museumkaart	
Museum Rotterdam ROTTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Rotterdam+/Museum+Rotterdam+.aspx	Museum Rotterdam  ROTTERDAM						"Het nieuwe Museum Rotterdam is het perfecte startpunt van de stad. Maak kennis met Rotterdam of leer je stad nóg beter kennen. Achter het stadhuis vertellen collectiestukken én bewoners het verhaal van hun stad. In het gebouw komt het hypermoderne glas en staal van de Rotterdamse starchitect Rem Koolhaas samen met het beton en baksteen van het wederopbouwmonument. Het Timmerhuis is een wolk van glas. Dit zorgt voor een geweldige inkijk en een spectaculaire ruimte, maar ook voor veel licht. Een uitdaging bij het tonen van kwetsbare historische stukken. Museum Rotterdam toont lef met deze vooruitstrevende huisvesting. Typisch Rotterdams, hier doen ze zaken net iets anders."
Noord-Veluws MuseumNUNSPEETDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Noord-Veluws+Museum/Noord-Veluws+Museum.aspx	Noord-Veluws Museum NUNSPEET					Museumkaart	
Museum DorestadWIJK BIJ DUURSTEDEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Dorestad/Museum+Dorestad.aspx	Museum Dorestad WIJK BIJ DUURSTEDE			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0WIJK+BIJ+DUURSTEDE%4051.9706038,5.3448116&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum de FundatieZWOLLEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+de+Fundatie/Museum+de+Fundatie+Zwolle.aspx	Museum de Fundatie ZWOLLE	ZWOLLE					
Museum De WiegerDEURNEDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+De+Wieger/Museum+De+Wieger.aspx	Museum De Wieger DEURNE						"Museum De Wieger was ooit het huis van de schilderende huisarts Hendrik Wiegersma. Het museum heeft behalve werk van Wiegersma zelf ook kunst uit de periode 1900 tot 1940, van schilders als Isaac Israëls en Charley Toorop. Het museum verzorgt tentoonstellingen met werk van bekende schilders uit de eerste helft van de 20ste eeuw. Het besteedt ook regelmatig aandacht aan hedendaagse kunstenaars uit de omgeving van Deurne en Brabant. Het museum kan de eigen collectie niet permanent tonen. Hooguit 1 keer per jaar is er een keuze te zien."
Dit museum is kidsproofNationaal Reddingmuseum Dorus DEN HELDERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nationaal+Reddingmuseum+Dorus+Rijkers/Nationaal+Reddingmuseum+Dorus+Rijkers.aspx	Nationaal Reddingmuseum Dorus Rijkers DEN HELDER		"Willemsoord 60g
1781AS  DEN HELDER
				            0223 618320"				
Dit museum is kidsproofMuseum VolkenkundeLEIDENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Volkenkunde/Museum+Volkenkunde.aspx	Museum Volkenkunde LEIDEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0LEIDEN%4052.1635903,4.4841495&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Dit museum is kidsproofTechniekmuseum HEIMHENGELODit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Techniekmuseum+HEIM/Techniekmuseum+HEIM.aspx	Techniekmuseum HEIM HENGELO			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HENGELO%4052.2586988,6.7890442&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Collectie BrandsNIEUW DORDRECHTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Collectie+Brands/Collectie+Brands.aspx	Collectie Brands NIEUW DORDRECHT						"""De stukken worden getoond in de boerderij van de familie Brands en de in 2011 geopende nieuwbouw. De verzameling bestaat uit ongeveer 70.000 objecten (inclusief 30.000 boeken).
Een opmerkelijk stuk is een glazen kolfje waarmee moedermelk werd gekolfd. Ook bijzonder is het in leer gebonden boekwerkje dat in 1895 werd aangeboden aan koningin Emma en prinses Wilhelmina ter gelegenheid van een openluchtuitvoering in de Baller Kuil."""
De LooierijDONGENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/De+Looierij/Museum+De+Looierij.aspx	De Looierij DONGEN		"Kerkstraat 33
5101BB  DONGEN
				            (0162) 38 71 94"				
Nederlands VolksbuurtmuseumUTRECHTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nederlands+Volksbuurtmuseum/Nederlands+Volksbuurtmuseum+.aspx	Nederlands Volksbuurtmuseum UTRECHT	UTRECHT					
Museum HindeloopenHINDELOOPENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Hindeloopen/Museum+Hindeloopen.aspx	Museum Hindeloopen HINDELOOPEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HINDELOOPEN%4052.9432849,5.3986164&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Museum BronbeekARNHEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Bronbeek/Museum+Bronbeek.aspx	Museum Bronbeek ARNHEM						"Museum Bronbeek vertelt over het koloniale verleden van Nederland in Nederlands-Indië. Centraal staat de geschiedenis van het Koninklijk Nederlands-Indisch Leger - KNIL - en de gekoloniseerde tegenstanders. De vaste tentoonstelling vertelt het verhaal van Nederlands-Indië, beginnend aan het eind van de 16e eeuw. Een belangrijk deel van de expositie gaat over de Tweede Wereldoorlog in de kolonie en de gevolgen voor de bewoners. Het verhaal eindigt in de postkoloniale periode, waarin honderdduizenden Indische Nederlanders naar Nederland vertrokken. Verhalen van ooggetuigen, authentieke uniformen en wapens en filmbeelden schetsen een beeld van deze geschiedenis."
Portugese Synagoge AmsterdamAMSTERDAMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Portugese+Synagoge+Amsterdam/Portugese+Synagoge.aspx	Portugese Synagoge Amsterdam AMSTERDAM						"De Portugese Synagoge werd gebouwd tussen 1671 en 1675, en is gevestigd tegenover het JHM. De synagoge kwam in 2009 in beheer van het Joods Historisch Museum. Het bijzondere gebouw is te bezichtigen en wordt nog steeds gebruikt voor erediensten van de Portugees Israëlietische Gemeente. Tussen 2009 en 2011 is de synagoge verbouwd en gerenoveerd. In de kelders van de bijgebouwen zijn nieuwe publieksruimtes (schatkamers) gecreëerd waar bezoekers voor het eerst zeldzame werken uit de bibliotheek Ets Haim - Livraria Montezinos en de verzameling rituele objecten van de Esnoga kunnen bewonderen."
Dit museum is kidsproofGeoFortHERWIJNENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/GeoFort/Geofort.aspx	GeoFort HERWIJNEN	HERWIJNEN					
SCHUNCKHEERLENDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/SCHUNCK/SCHUNCK+Glaspaleis.aspx	SCHUNCK HEERLEN			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0HEERLEN%4050.8878904,5.9793958&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Dit museum is kidsproofNederlands OpenluchtmuseumARNHEMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Nederlands+Openluchtmuseum/Nederlands+Openluchtmuseum.aspx	Nederlands Openluchtmuseum ARNHEM		"Hoeferlaan 4
6816SG  ARNHEM
				            026 - 35 76 101"				
Streekmuseum-VolkssterrenwachtBURGUMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum-Volkssterrenwacht+Burgum/Streekmuseum+Volkssterrenwacht+Burgum.aspx	Streekmuseum-Volkssterrenwacht Burgum BURGUM			Tonen op kaart	"http://maps.google.nl/maps?q=Locatie%C2%A0van%C2%A0BURGUM%4053.204089,6.000474&hl=nl&ie=UTF8&t=m&om=1&z=12"		
Streekmuseum-VolkssterrenwachtBURGUMDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Streekmuseum-Volkssterrenwacht+Burgum/Streekmuseum+Volkssterrenwacht+Burgum.aspx	Streekmuseum-Volkssterrenwacht Burgum BURGUM					Museumkaart	
Museum de KantfabriekHORSTDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+de+Kantfabriek/De+Kantfabriek.aspx	Museum de Kantfabriek HORST		"Americaanseweg 8
5961GP  HORST
				            077 - 3981650"				
Kasteel HeeswijkHEESWIJK-DINTHERDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Kasteel+Heeswijk/Kasteel+Heeswijk.aspx	Kasteel Heeswijk HEESWIJK-DINTHER						"Prominent in het bosrijke Brabantse land schittert het monumentale Kasteel Heeswijk, Het Kasteel van Brabant. Het weerspiegelt bijna duizend jaar macht, trots en cultuur van de Brabantse elite. André baron van den Bogaerde van Terbrugge, destijds Gouverneur des Konings in Brabant, gaf het rond 1835 zijn huidige allure.
Wandel op eigen gelegenheid door het kasteel m.b.v. de Nederlandstalige audiogids via je smartphone of (leen)tablet. Zo krijg je een goed beeld van het kasteel en z’n geschiedenis. Op afspraak kun je het kasteel ook bezoeken in combinatie met een rondleiding met een gids, duur ca. 1 uur. Per gids kunnen maximaal 15 personen mee."
Museum NijkerkNIJKERKDit museum accepteert de Museumkaart	https://www.museumkaart.nl/museum/Museum+Nijkerk/Museum+Nijkerk.aspx	Museum Nijkerk NIJKERK					Museumkaart	
